TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_10 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_11 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_12 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_13 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_14 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_15 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_16 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_9 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_46_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_46_10 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_46_11 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_46_12 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_46_13 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_46_14 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_46_15 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_46_16 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_46_17 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_46_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_46_3 TRUE
